Drug 1,Drug 2,DDI Type,Time,Unit
norfloxacin,tramadol hydrochloride,bad,5,day
norfloxacin,trazodone,good,7,week
norfloxacin,trimipramine,bad,2,min
norfloxacin,voriconazole,good,9,week
norfloxacin,vorinostat,bad,1,day
norfloxacin,warfarin,good,3,hr
norfloxacin,zinc,bad,32,min
norfloxacin,ziprasidone,bad,5,yr
norfloxacin,zuclopenthixol,good,21,hr
warfarin,paracetamol,good,25,week
warfarin,acetylsalicylic acid,bad,44,min
warfarin,allopurinol,good,29,week
warfarin,aminoglutethimide,good,31,sec
warfarin,4-aminosalicylic acid,bad,32,min
warfarin,amiodarone,good,31,sec
warfarin,amobarbital,good,21,hr
warfarin,amprenavir,good,1,sec
warfarin,aprepitant,bad,1,yr
warfarin,atazanavir,bad,5,day
warfarin,avanafil,bad,3,yr
warfarin,azathioprine,bad,5,yr
warfarin,azithromycin,bad,26,min
warfarin,betamethasone,bad,4,day
warfarin,bezafibrate,good,9,hr
warfarin,bosentan,bad,4,day
warfarin,butabarbital,good,41,week
warfarin,butalbital,bad,1,day
warfarin,capecitabine,bad,1,day
warfarin,carbamazepine,bad,6,day
warfarin,cefotetan,good,49,sec
warfarin,cefoxitin,good,25,sec
warfarin,ceftriaxone,bad,4,yr
warfarin,celecoxib,bad,4,day
warfarin,cholestyramine,bad,56,min
warfarin,cimetidine,bad,38,min
warfarin,cisapride,good,31,sec
warfarin,citalopram,good,25,sec
warfarin,clarithromycin,bad,5,day
warfarin,clofibrate,bad,4,yr
warfarin,clopidogrel,bad,20,min
warfarin,colestipol hydrochloride,bad,26,min
warfarin,cyclophosphamide,bad,6,day
warfarin,danazol,bad,6,day
warfarin,delavirdine,good,23,week
warfarin,demeclocycline,good,47,week
warfarin,desogestrel,bad,2,day
warfarin,dexamethasone,good,17,week
warfarin,dextrothyroxine,bad,4,yr
warfarin,diclofenac,good,37,sec
warfarin,dicloxacillin,bad,38,min
warfarin,diflunisal,good,3,hr
warfarin,disulfiram,bad,26,min
warfarin,doxycycline,good,39,week
warfarin,dronedarone,bad,1,yr
warfarin,drospirenone,bad,5,yr
warfarin,drotrecogin alfa,good,21,hr
warfarin,erythromycin,bad,2,min
warfarin,ethchlorvynol,good,25,sec
warfarin,ethinyl estradiol,good,21,hr
warfarin,ethynodiol diacetate,bad,1,yr
warfarin,etodolac,bad,14,min
warfarin,etonogestrel,bad,1,day
warfarin,etoricoxib,good,21,hr
warfarin,ezetimibe,good,3,hr
warfarin,fenofibrate,bad,6,day
warfarin,fenoprofen,good,3,hr
warfarin,5-fluoro-2'-deoxyuridine,good,23,week
warfarin,fluconazole,bad,26,min
warfarin,fludrocortisone,bad,4,yr
warfarin,5-fluorouracil,good,15,hr
warfarin,fluoxetine,good,21,hr
warfarin,fluoxymesterone,bad,6,day
warfarin,flurbiprofen,bad,3,day
warfarin,"(3S,5R)-fluvastatin",bad,8,min
warfarin,fluvoxamine,bad,6,day
warfarin,fosamprenavir,bad,2,day
warfarin,fosphenytoin,bad,50,min
warfarin,gadofosveset trisodium,bad,3,day
warfarin,gefitinib,bad,3,day
warfarin,gemcitabine,good,15,hr
warfarin,gemfibrozil,bad,3,day
warfarin,ginkgo biloba,bad,50,min
warfarin,ginseng,good,21,hr
warfarin,glutethimide,good,25,week
warfarin,griseofulvin,bad,20,min
warfarin,homoharringtonine,bad,14,min
warfarin,cortisol,bad,20,min
warfarin,ibuprofen,bad,5,day
warfarin,imatinib,good,25,sec
warfarin,indinavir,good,1,sec
warfarin,indometacin,good,15,hr
warfarin,isoniazid,bad,32,min
warfarin,itraconazole,bad,3,yr
warfarin,ketoconazole,good,3,hr
warfarin,ketoprofen,good,3,week
warfarin,ketorolac,good,37,sec
warfarin,leflunomide,good,3,hr
warfarin,levamisole,bad,1,day
warfarin,levofloxacin,good,21,hr
warfarin,levonorgestrel,good,21,hr
warfarin,L-thyroxine,bad,2,yr
warfarin,liothyronine,bad,2,yr
warfarin,liotrix,bad,14,min
warfarin,lomitapide,good,37,week
warfarin,lovastatin,bad,14,min
warfarin,lumiracoxib,bad,2,yr
warfarin,meclofenamic acid,bad,3,yr
warfarin,medroxyprogesterone,bad,38,min
warfarin,mefenamic acid,good,15,hr
warfarin,mefloquine,bad,14,min
warfarin,meloxicam,bad,38,min
warfarin,mercaptopurine,bad,3,day
warfarin,mestranol,bad,5,yr
warfarin,methimazole,good,13,sec
warfarin,methohexital,good,55,sec
warfarin,metronidazole,good,55,sec
warfarin,miconazole,good,13,week
warfarin,minocycline,bad,7,day
warfarin,mirabegron,good,49,week
warfarin,mitotane,bad,4,day
warfarin,moxifloxacin,bad,32,min
warfarin,nabumetone,bad,3,day
warfarin,nafcillin,good,25,sec
warfarin,nandrolone decanoate,bad,2,yr
warfarin,nandrolone phenpropionate,bad,26,min
warfarin,naproxen,good,9,hr
warfarin,nelfinavir,good,25,sec
warfarin,nevirapine,bad,7,day
warfarin,nicardipine,good,49,week
warfarin,norethisterone,good,55,sec
warfarin,norgestimate,good,7,sec
warfarin,ofloxacin,bad,50,min
warfarin,orlistat,bad,4,day
warfarin,oxandrolone,bad,38,min
warfarin,oxaprozin,good,3,hr
warfarin,oxyphenbutazone,good,27,week
warfarin,paroxetine,bad,7,day
warfarin,pentobarbital,bad,26,min
warfarin,pentoxifylline,good,7,sec
warfarin,phenobarbital,good,19,week
warfarin,phenylbutazone,bad,1,day
warfarin,phenytoin,good,15,hr
warfarin,phytonadione,bad,5,yr
warfarin,piroxicam,good,45,week
warfarin,prasugrel,good,49,week
warfarin,prednisolone,bad,3,yr
warfarin,prednisone,bad,50,min
warfarin,primidone,good,13,sec
warfarin,propafenone hydrochloride,bad,4,day
warfarin,propoxyphene,bad,3,day
warfarin,6-propyl-2-thiouracil,bad,4,yr
warfarin,quinidine,good,11,week
warfarin,quinine,good,9,week
warfarin,ranitidine,bad,3,day
warfarin,rifabutin,bad,1,day
warfarin,rifampicin,bad,3,day
warfarin,S-adenosyl-L-methionine,bad,2,day
warfarin,salicylate-sodium,bad,6,day
warfarin,secobarbital,bad,38,min
warfarin,sitaxentan,good,19,week
warfarin,st. john's wort,good,19,sec
warfarin,sucralfate,good,13,sec
warfarin,sulfadiazine,bad,3,yr
warfarin,sulfamethoxazole,good,21,week
warfarin,sulfinpyrazone,bad,2,day
warfarin,sulfisoxazole,bad,2,day
warfarin,sulindac,good,23,week
warfarin,tamoxifen,bad,26,min
warfarin,telithromycin,good,9,hr
warfarin,tenoxicam,good,49,sec
warfarin,testolactone,bad,5,yr
warfarin,testosterone,bad,1,yr
warfarin,testosterone propionate,bad,3,day
warfarin,tetracycline,bad,8,min
warfarin,thiopental,bad,3,day
warfarin,tiaprofenic acid,good,1,sec
warfarin,ticlopidine,good,51,week
warfarin,tigecycline,good,9,hr
warfarin,tolbutamide,bad,32,min
warfarin,tolmetin sodium dihydrate,bad,32,min
warfarin,treprostinil,bad,3,day
warfarin,triamcinolone acetonide,good,23,week
warfarin,triflusal,good,9,hr
warfarin,trimetrexate,bad,1,day
warfarin,trisalicylate-choline,good,9,hr
warfarin,vemurafenib,good,49,week
warfarin,vilazodone,good,47,week
yohimbine,asenapine,good,43,sec
yohimbine,atomoxetine,good,13,sec
zafirlukast,acenocoumarol,good,39,week
zafirlukast,aminophylline,good,15,hr
zafirlukast,capecitabine,good,23,week
zafirlukast,cisapride,good,55,sec
zafirlukast,delavirdine,bad,1,yr
zafirlukast,erythromycin,good,37,sec
zafirlukast,5-fluoro-2'-deoxyuridine,bad,44,min
zafirlukast,fluconazole,good,21,hr
zafirlukast,5-fluorouracil,good,13,sec
zafirlukast,gemfibrozil,bad,2,min
zafirlukast,ketoconazole,bad,8,min
zafirlukast,nicardipine,bad,2,day
zafirlukast,roflumilast,bad,5,day
zafirlukast,sitaxentan,bad,3,day
zafirlukast,sulfadiazine,bad,6,day
zafirlukast,sulfisoxazole,bad,2,min
zafirlukast,theophylline,good,25,sec
zafirlukast,tolbutamide,good,31,week
zalcitabine,didanosine,bad,2,min
zalcitabine,lamivudine,bad,26,min
zalcitabine,pentamidine,good,41,week
zalcitabine,ribavirin,bad,14,min
zaleplon,cimetidine,bad,26,min
zaleplon,methotrimeprazine,good,51,week
zaleplon,rifampicin,bad,5,day
zaleplon,triprolidine,good,9,hr
diclofenamide,acetylsalicylic acid,good,15,hr
diclofenamide,brinzolamide,good,51,week
diclofenamide,memantine,good,27,week
diclofenamide,treprostinil,bad,5,yr
zidovudine,atovaquone,bad,56,min
zidovudine,clarithromycin,bad,38,min
zidovudine,doxorubicin,bad,44,min
zidovudine,ganciclovir,bad,3,yr
zidovudine,interferon beta-1b,good,3,week
zidovudine,methadone,good,19,sec
zidovudine,probenecid,good,9,hr
zidovudine,ribavirin,good,31,sec
zidovudine,rifabutin,good,15,hr
zidovudine,rifampicin,bad,1,yr
zidovudine,rifapentine,bad,1,yr
zidovudine,stavudine,bad,1,yr
zidovudine,tipranavir,bad,7,day
zidovudine,valganciclovir,bad,38,min
zileuton,aminophylline,good,15,hr
zileuton,dihydroergotamine,bad,3,day
zileuton,eltrombopag,good,15,week
zileuton,ergotamine,bad,56,min
zileuton,oxtriphylline,bad,7,day
zileuton,pimozide,good,5,week
zileuton,ramelteon,bad,5,yr
zileuton,theophylline,bad,4,yr
ziprasidone,abarelix,bad,20,min
ziprasidone,amantadine,good,21,hr
ziprasidone,amiodarone,good,49,sec
ziprasidone,amitriptyline,bad,32,min
ziprasidone,amoxapine,good,15,hr
ziprasidone,apomorphine,bad,2,day
ziprasidone,diarsenic trioxide,bad,4,yr
ziprasidone,artemether,good,45,week
ziprasidone,asenapine,bad,2,yr
ziprasidone,azithromycin,good,3,week
ziprasidone,bromocriptine,bad,2,day
ziprasidone,carbamazepine,good,21,hr
ziprasidone,chlorpromazine,good,9,hr
ziprasidone,cisapride,good,33,week
ziprasidone,citalopram,good,31,sec
ziprasidone,clarithromycin,bad,4,yr
ziprasidone,clomipramine,good,37,sec
ziprasidone,dasatinib (anhydrous),good,55,sec
ziprasidone,desipramine,bad,3,day
ziprasidone,disopyramide,good,1,sec
ziprasidone,dofetilide,bad,6,day
ziprasidone,dolasetron,bad,3,day
ziprasidone,domperidone,good,15,hr
ziprasidone,donepezil,good,21,hr
ziprasidone,doxepin,good,3,hr
ziprasidone,dronedarone,good,43,sec
ziprasidone,droperidol,good,25,sec
ziprasidone,erythromycin,good,45,week
ziprasidone,(S)-citalopram,good,9,hr
ziprasidone,flecainide,good,25,week
ziprasidone,fluconazole,bad,32,min
ziprasidone,fluoxetine,good,3,hr
ziprasidone,flupenthixol,good,15,hr
ziprasidone,phosphonoformic acid,bad,26,min
ziprasidone,galanthamine,bad,1,day
ziprasidone,gatifloxacin,bad,2,min
ziprasidone,halofantrine,bad,5,day
ziprasidone,haloperidol,bad,3,day
ziprasidone,ibutilide,good,3,hr
ziprasidone,iloperidone,good,21,hr
ziprasidone,imipramine,good,15,hr
ziprasidone,indapamide,bad,4,yr
ziprasidone,isradipine,good,9,hr
ziprasidone,ketoconazole,bad,26,min
ziprasidone,lapatinib,bad,38,min
ziprasidone,L-dopa,good,43,week
ziprasidone,levofloxacin,good,3,hr
ziprasidone,loxapine,bad,38,min
ziprasidone,lumefantrine,good,15,hr
ziprasidone,maprotiline,bad,1,yr
ziprasidone,mefloquine,good,13,sec
ziprasidone,mesoridazine,bad,56,min
ziprasidone,methadone,good,3,hr
ziprasidone,methotrimeprazine,good,39,week
ziprasidone,moxifloxacin,bad,1,yr
ziprasidone,nilotinib,bad,7,day
ziprasidone,nortriptyline,bad,3,day
ziprasidone,octreotide,good,21,hr
ziprasidone,pazopanib,bad,44,min
ziprasidone,pentamidine,bad,2,min
ziprasidone,perflutren,good,7,sec
ziprasidone,pergolide mesylate,bad,7,day
ziprasidone,pimozide,good,13,sec
ziprasidone,pramipexole,bad,3,day
ziprasidone,probucol,good,1,sec
ziprasidone,procainamide,good,13,sec
ziprasidone,propafenone hydrochloride,bad,6,day
ziprasidone,protriptyline,bad,44,min
ziprasidone,quetiapine,bad,3,yr
ziprasidone,quinidine,bad,1,day
ziprasidone,quinine,good,15,hr
ziprasidone,ranolazine,good,55,sec
ziprasidone,risperidone,bad,1,yr
ziprasidone,ropinirole,good,3,week
ziprasidone,rotigotine,bad,5,yr
ziprasidone,sotalol,bad,5,yr
ziprasidone,sparfloxacin,bad,1,yr
ziprasidone,sunitinib,good,25,sec
ziprasidone,tacrine,good,43,week
ziprasidone,tacrolimus (anhydrous),good,25,week
ziprasidone,telavancin,good,37,sec
ziprasidone,telavancin hydrochloride,good,37,sec
ziprasidone,telithromycin,bad,38,min
ziprasidone,tetrabenazine,bad,2,yr
ziprasidone,thioridazine,good,19,week
ziprasidone,thiothixene,good,3,hr
ziprasidone,toremifene,bad,38,min
ziprasidone,trimipramine,bad,5,yr
ziprasidone,triprolidine,bad,5,yr
ziprasidone,voriconazole,good,35,week
ziprasidone,vorinostat,bad,26,min
ziprasidone,zuclopenthixol,good,21,hr
zolmitriptan,almotriptan,bad,44,min
zolmitriptan,amitriptyline,good,31,week
zolmitriptan,amoxapine,bad,20,min
zolmitriptan,bromocriptine,good,3,hr
zolmitriptan,buspirone,bad,5,yr
zolmitriptan,cabergoline,bad,4,day
zolmitriptan,citalopram,good,21,week
zolmitriptan,clomipramine,bad,7,day
zolmitriptan,d-tryptophan,good,9,hr
zolmitriptan,desipramine,bad,1,day
zolmitriptan,desvenlafaxine,good,15,hr
zolmitriptan,dextromethorphan,bad,2,min
zolmitriptan,dihydroergotamine,good,7,sec
zolmitriptan,doxepin,good,23,week
zolmitriptan,duloxetine,good,1,sec
zolmitriptan,eletriptan,good,3,hr
zolmitriptan,ergoloid mesylate,good,5,week
zolmitriptan,ergometrine,good,3,hr
zolmitriptan,ergotamine,good,27,week
zolmitriptan,(S)-citalopram,good,37,week
zolmitriptan,fluoxetine,bad,6,day
zolmitriptan,fluvoxamine,bad,6,day
zolmitriptan,frovatriptan,good,21,hr
zolmitriptan,furazolidone,good,49,sec
zolmitriptan,imipramine,good,15,hr
zolmitriptan,isocarboxazid,good,17,week
zolmitriptan,L-tryptophan,good,21,week
zolmitriptan,linezolid,good,25,sec
zolmitriptan,lithium,good,13,sec
zolmitriptan,maprotiline,good,21,hr
zolmitriptan,meperidine,bad,2,yr
zolmitriptan,methylergonovine,bad,20,min
zolmitriptan,methysergide,bad,4,yr
zolmitriptan,milnacipran,good,23,week
zolmitriptan,mirtazapine,bad,2,yr
zolmitriptan,moclobemide,bad,2,day
zolmitriptan,naratriptan,bad,32,min
zolmitriptan,nefazodone,good,11,week
zolmitriptan,nortriptyline,good,31,week
zolmitriptan,paroxetine,good,43,sec
zolmitriptan,pergolide mesylate,good,13,week
zolmitriptan,phenelzine,bad,32,min
zolmitriptan,procarbazine,bad,6,day
zolmitriptan,promethazine,bad,3,yr
zolmitriptan,protriptyline,good,19,sec
zolmitriptan,rasagiline,bad,8,min
zolmitriptan,rizatriptan,bad,5,yr
zolmitriptan,S-adenosyl-L-methionine,good,3,week
zolmitriptan,selegiline,good,19,week
zolmitriptan,sertraline,good,3,hr
zolmitriptan,sibutramine,bad,3,day
zolmitriptan,st. john's wort,good,9,hr
zolmitriptan,sumatriptan,bad,7,day
zolmitriptan,tapentadol,bad,5,day
zolmitriptan,tramadol hydrochloride,good,1,sec
zolmitriptan,tranylcypromine,bad,1,day
zolmitriptan,trazodone,bad,4,yr
zolmitriptan,trimipramine,good,37,sec
zolmitriptan,venlafaxine,good,19,week
zolpidem,amprenavir,bad,2,yr
zolpidem,atazanavir,bad,4,day
zolpidem,clarithromycin,good,33,week
zolpidem,conivaptan,good,9,hr
zolpidem,darunavir,good,43,week
zolpidem,delavirdine,bad,2,day
zolpidem,dihydrocodeine,good,31,sec
zolpidem,fluconazole,bad,2,day
zolpidem,fosamprenavir,bad,3,day
zolpidem,indinavir,bad,6,day
zolpidem,isoniazid,bad,3,yr
zolpidem,itraconazole,good,45,week
zolpidem,ketoconazole,bad,26,min
zolpidem,lopinavir,bad,32,min
zolpidem,methotrimeprazine,bad,6,day
zolpidem,nefazodone,good,9,hr
zolpidem,nelfinavir,bad,44,min
zolpidem,nicardipine,good,19,sec
zolpidem,posaconazole,bad,1,yr
zolpidem,quinidine,good,21,hr
zolpidem,ritonavir,bad,1,day
zolpidem,saquinavir,bad,56,min
zolpidem,telithromycin,good,25,week
zolpidem,triprolidine,bad,38,min
zolpidem,voriconazole,good,7,sec
zonisamide,amprenavir,bad,7,day
zonisamide,atazanavir,bad,7,day
zonisamide,brinzolamide,bad,38,min
zonisamide,clarithromycin,good,25,sec
zonisamide,conivaptan,bad,1,yr
zonisamide,darunavir,good,21,week
zonisamide,delavirdine,bad,4,yr
zonisamide,fosamprenavir,bad,4,yr
zonisamide,imatinib,bad,26,min
zonisamide,indinavir,good,43,sec
zonisamide,isoniazid,bad,32,min
zonisamide,itraconazole,bad,8,min
zonisamide,ketoconazole,good,25,week
zonisamide,lopinavir,bad,3,yr
zonisamide,mefloquine,good,1,sec
zonisamide,methotrimeprazine,bad,32,min
zonisamide,nefazodone,bad,7,day
zonisamide,nelfinavir,good,37,sec
zonisamide,nicardipine,bad,8,min
zonisamide,posaconazole,bad,1,yr
zonisamide,quinidine,good,37,sec
zonisamide,ritonavir,bad,50,min
zonisamide,saquinavir,good,55,sec
zonisamide,telithromycin,good,1,sec
zonisamide,triprolidine,bad,1,yr
zonisamide,voriconazole,good,9,hr
diltiazem,amiodarone,good,29,week
diltiazem,amlodipine,good,15,hr
diltiazem,aprepitant,good,31,sec
diltiazem,atazanavir,bad,7,day
diltiazem,atenolol,good,19,week
diltiazem,atorvastatin,good,51,week
diltiazem,bromazepam,good,19,week
diltiazem,buspirone,bad,3,day
diltiazem,carbamazepine,good,13,sec
diltiazem,cerivastatin,bad,5,yr
diltiazem,cilostazol,bad,8,min
diltiazem,cisapride,good,43,sec
diltiazem,cyclosporin A,good,7,week
diltiazem,dihydroquinidine barbiturate,bad,1,yr
diltiazem,dronedarone,bad,7,day
diltiazem,eltrombopag,bad,1,day
diltiazem,lovastatin,good,37,sec
diltiazem,mesoridazine,good,15,week
diltiazem,metoprolol,bad,56,min
diltiazem,midazolam,good,15,hr
diltiazem,moricizine,bad,2,day
diltiazem,pindolol,bad,4,yr
diltiazem,propranolol,good,9,hr
diltiazem,quinidine,bad,50,min
diltiazem,quinidine barbiturate,good,3,hr
diltiazem,quinupristin,good,7,week
diltiazem,ranolazine,bad,4,yr
diltiazem,rifampicin,bad,44,min
diltiazem,ritonavir,bad,3,day
diltiazem,saxagliptin,bad,5,yr
diltiazem,silodosin,bad,2,yr
diltiazem,simvastatin,bad,3,yr
diltiazem,sirolimus,bad,4,day
diltiazem,tacrolimus (anhydrous),good,9,hr
diltiazem,tamsulosin,bad,7,day
diltiazem,telithromycin,bad,4,yr
diltiazem,terfenadine,bad,2,min
diltiazem,thiopental,good,9,hr
diltiazem,thioridazine,good,1,sec
diltiazem,timolol,bad,4,yr
diltiazem,tipranavir,bad,2,day
diltiazem,tolterodine,good,15,hr
diltiazem,tolvaptan,good,45,week
diltiazem,tramadol hydrochloride,good,9,hr
diltiazem,trazodone,good,27,week
diltiazem,treprostinil,bad,7,day
diltiazem,triazolam,good,49,week
diltiazem,voriconazole,bad,26,min
gemifloxacin,aluminium,bad,56,min
gemifloxacin,calcium acetate,good,13,week
gemifloxacin,iron,bad,32,min
gemifloxacin,iron dextran,bad,2,min
gemifloxacin,magnesium,bad,26,min
gemifloxacin,magnesium oxide,good,43,sec
gemifloxacin,magnesium salicylate,good,37,sec
gemifloxacin,sucralfate,bad,4,day
gemifloxacin,zinc,good,37,sec
sulfamerazine,chlorpropamide,bad,4,yr
sulfamerazine,methotrexate,good,43,sec
thiopental,acenocoumarol,bad,7,day
thiopental,amlodipine,bad,14,min
thiopental,chloramphenicol,good,55,sec
thiopental,cyclosporin A,bad,2,day
thiopental,desogestrel,bad,4,yr
thiopental,disopyramide,bad,6,day
thiopental,doxycycline,bad,2,min
thiopental,drospirenone,bad,4,day
thiopental,ethinyl estradiol,bad,14,min
thiopental,ethynodiol diacetate,good,31,sec
thiopental,etonogestrel,bad,3,yr
thiopental,felodipine,bad,1,day
thiopental,isradipine,good,49,sec
thiopental,lamotrigine,good,19,sec
thiopental,levonorgestrel,good,9,hr
thiopental,medroxyprogesterone,bad,3,day
thiopental,mestranol,good,3,hr
thiopental,methadone,bad,1,day
thiopental,nicardipine,bad,2,yr
thiopental,nifedipine,bad,1,yr
thiopental,nimodipine,bad,5,yr
thiopental,nisoldipine,good,3,hr
thiopental,nitrendipine,bad,3,yr
thiopental,norethisterone,good,37,sec
thiopental,norgestimate,bad,5,yr
thiopental,propafenone hydrochloride,bad,3,yr
thiopental,quinidine,bad,2,yr
thiopental,trimipramine,bad,5,day
thiopental,triprolidine,bad,38,min
thiopental,verapamil,good,1,sec
methohexital,aminophylline,bad,1,day
methohexital,betamethasone,good,3,hr
methohexital,clomiphene,bad,44,min
methohexital,conjugated estrogens,bad,20,min
methohexital,cyclosporin A,bad,1,yr
methohexital,dexamethasone,good,3,hr
methohexital,diethylstilbestrol,good,3,hr
methohexital,doxycycline,good,19,sec
methohexital,estradiol,bad,26,min
methohexital,ethinyl estradiol,bad,4,yr
methohexital,felodipine,bad,7,day
methohexital,fludrocortisone,bad,38,min
methohexital,folic acid,good,3,hr
methohexital,gefitinib,good,55,sec
methohexital,griseofulvin,good,37,week
methohexital,cortisol,bad,56,min
methohexital,levonorgestrel,bad,4,yr
methohexital,medroxyprogesterone,bad,56,min
methohexital,megestrol,good,37,week
methohexital,methadone,good,7,week
methohexital,metronidazole,good,37,sec
methohexital,nifedipine,bad,7,day
methohexital,norethisterone,bad,3,yr
methohexital,oxtriphylline,good,49,sec
methohexital,prednisolone,bad,8,min
methohexital,prednisone,bad,2,day
methohexital,quinidine,bad,1,yr
methohexital,theophylline,bad,4,day
methohexital,triamcinolone acetonide,good,21,hr
methohexital,trimipramine,bad,38,min
methohexital,triprolidine,good,15,hr
methohexital,verapamil,good,7,week
sulfamethazine,chlorpropamide,bad,50,min
sulfamethazine,cyclosporin A,good,21,hr
sulfamethazine,methotrexate,good,43,sec
sulfisoxazole,chlorpropamide,bad,56,min
sulfisoxazole,methotrexate,bad,4,day
sulfisoxazole,tamoxifen,good,15,hr
sulfisoxazole,tolbutamide,good,11,week
sulfisoxazole,torasemide,bad,3,yr
sulfisoxazole,trimethoprim,good,9,hr
sulfisoxazole,voriconazole,good,49,sec
butalbital,acenocoumarol,bad,3,yr
butalbital,aminophylline,good,7,sec
butalbital,amitriptyline,bad,1,yr
butalbital,amoxapine,bad,8,min
butalbital,betamethasone,bad,14,min
butalbital,chloramphenicol,bad,38,min
butalbital,clomiphene,bad,3,day
butalbital,clomipramine,bad,56,min
butalbital,conjugated estrogens,good,11,week
butalbital,cyclosporin A,bad,5,yr
butalbital,desipramine,bad,5,day
butalbital,dexamethasone,good,3,hr
butalbital,diethylstilbestrol,bad,38,min
butalbital,doxepin,bad,2,day
butalbital,doxycycline,bad,5,day
butalbital,droperidol,good,13,sec
butalbital,eltrombopag,good,43,sec
butalbital,estradiol,good,27,week
butalbital,ethinyl estradiol,good,9,hr
butalbital,felodipine,bad,3,yr
butalbital,fludrocortisone,good,43,sec
butalbital,folic acid,bad,7,day
butalbital,gefitinib,bad,2,yr
butalbital,griseofulvin,bad,3,yr
butalbital,cortisol,bad,7,day
butalbital,hydroxyzine,bad,5,yr
butalbital,imipramine,good,25,sec
butalbital,lamotrigine,good,49,sec
butalbital,levonorgestrel,bad,14,min
butalbital,medroxyprogesterone,bad,1,yr
butalbital,megestrol,good,43,sec
butalbital,methadone,bad,5,yr
butalbital,metronidazole,bad,26,min
butalbital,nifedipine,good,25,week
butalbital,norethisterone,good,39,week
butalbital,nortriptyline,good,51,week
butalbital,oxtriphylline,bad,4,day
butalbital,prednisolone,bad,3,day
butalbital,prednisone,good,55,sec
butalbital,protriptyline,good,21,hr
butalbital,quinidine,bad,50,min
butalbital,teniposide,good,13,sec
butalbital,theophylline,bad,44,min
butalbital,triamcinolone acetonide,bad,20,min
butalbital,trimipramine,bad,7,day
butalbital,triprolidine,bad,14,min
butalbital,verapamil,good,23,week
butalbital,voriconazole,bad,4,yr
sumatriptan,citalopram,bad,50,min
sumatriptan,desvenlafaxine,good,1,sec
sumatriptan,dihydroergotamine,bad,4,yr
sumatriptan,ergotamine,good,15,hr
sumatriptan,(S)-citalopram,bad,1,yr
sumatriptan,fluoxetine,bad,3,day
sumatriptan,fluvoxamine,bad,2,yr
sumatriptan,isocarboxazid,bad,2,yr
sumatriptan,lithium,good,9,hr
